Individual Goals,Age,Gender,Risk Tolerance,Financial Literacy,Recommended Investment Products
saving for retirement,74,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,4,Female,High,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold"
saving for retirement,60,Female,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,10,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,29,Female,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,13,Male,High,1,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,19,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,41,Female,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,76,Male,High,4,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,44,Female,Low,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,51,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,16,Male,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,37,Male,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,14,Female,Medium,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
purchasing for self,36,Male,High,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
planning a vacation,4,Female,High,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account"
buying a house,47,Male,High,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,0,Male,Low,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,49,Female,High,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,37,Male,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,75,Male,Low,4,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,44,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,69,Male,High,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,16,Female,Medium,3,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
planning a vacation,16,Male,Medium,4,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,10,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans"
buying a house,5,Female,Medium,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,23,Male,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,47,Female,Medium,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
planning a vacation,67,Female,Low,1,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,38,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,18,Female,Medium,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,80,Female,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,31,Male,High,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,42,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,47,Female,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,21,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,55,Female,Medium,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,74,Male,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for education,31,Male,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,66,Female,High,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,19,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,31,Female,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,19,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,39,Male,Low,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,39,Male,Medium,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,61,Female,Medium,2,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
starting a business,44,Male,Low,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,54,Male,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,62,Female,Medium,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,76,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,16,Male,Low,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
saving for education,80,Female,High,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,6,Male,Low,2,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
starting a business,68,Female,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,45,Male,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,30,Female,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,76,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,53,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,33,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,18,Female,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,6,Male,High,3,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,2,Male,Low,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,26,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,25,Female,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,13,Male,High,5,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
saving for retirement,63,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,62,Male,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for education,57,Female,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,37,Male,High,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,45,Female,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
purchasing for self,21,Male,Low,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,69,Female,High,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,49,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
purchasing for self,25,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,12,Female,Medium,2,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
buying a house,52,Male,High,3,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,70,Male,Medium,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
starting a business,47,Female,Low,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,73,Male,Medium,4,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
buying a house,10,Female,High,4,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
purchasing for self,72,Male,Low,2,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for education,16,Female,Low,5,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
purchasing for self,38,Female,Medium,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,48,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,60,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,6,Male,High,2,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,70,Male,Low,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,1,Male,Low,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,63,Male,Medium,5,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
saving for retirement,65,Male,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
planning a vacation,21,Female,Medium,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,46,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,0,Female,Medium,2,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
buying a house,36,Male,High,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,26,Female,High,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,20,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
purchasing for self,34,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,61,Female,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,30,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,27,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,73,Female,Low,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,72,Male,Medium,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,52,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
buying a house,23,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,62,Female,Low,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,48,Male,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,59,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,43,Male,Medium,3,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,42,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,13,Male,Medium,3,"Children's Mutual Funds, Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks"
buying a house,9,Female,High,3,"Sukanya Samriddhi Yojana, Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks"
saving for retirement,27,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,34,Male,High,3,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
saving for retirement,70,Female,Low,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
starting a business,41,Female,Low,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
planning a vacation,37,Female,Medium,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
purchasing for self,6,Male,High,3,"Children's Mutual Funds, Personal Loans, Consumer Stocks, Gold, Mutual Funds"
starting a business,58,Female,High,4,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for retirement,3,Male,High,5,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
purchasing for self,75,Male,High,1,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,11,Female,High,3,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
planning a vacation,29,Female,Medium,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,78,Male,Low,5,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
planning a vacation,26,Female,Low,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
purchasing for self,80,Female,Medium,5,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
saving for retirement,35,Male,Medium,1,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,52,Female,High,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,17,Male,High,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
planning a vacation,80,Female,High,3,"Travel Insurance, Short-Term Mutual Funds, Savings Account, Stocks, Cryptocurrency"
buying a house,10,Male,High,1,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,60,Female,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,73,Female,Low,1,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for retirement,25,Male,High,3,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for education,26,Female,Low,1,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,51,Female,High,1,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,79,Female,Medium,2,"National Scholarship Scheme, Education Bonds, Education Loans, Stocks, Mutual Funds"
starting a business,27,Male,Low,5,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
saving for education,4,Female,Low,5,"Sukanya Samriddhi Yojana, Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans"
saving for retirement,53,Male,Medium,4,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,23,Male,Low,5,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
saving for retirement,22,Male,Low,2,"Mutual Funds, PPF, NPS, Stocks, Real Estate"
buying a house,43,Male,Medium,2,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
saving for education,6,Male,Low,1,"Children's Mutual Funds, National Scholarship Scheme, Education Bonds, Education Loans, Stocks"
buying a house,13,Male,Medium,2,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,77,Male,Medium,4,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
starting a business,17,Male,High,3,"Children's Mutual Funds, Stand-Up India Scheme, Equity Shares, Business Loans, Stocks"
purchasing for self,40,Male,Low,3,"Personal Loans, Consumer Stocks, Gold, Mutual Funds, Cryptocurrency"
buying a house,68,Female,Medium,5,"Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
purchasing for self,18,Female,High,1,"Children's Mutual Funds, Mutual Funds, PPF, NPS, Stocks"
buying a house,2,Male,Medium,5,"Children's Mutual Funds, Real Estate Investment Trusts (REITs), Home Loans, Stocks, Real Estate"
starting a business,27,Male,High,2,"Stand-Up India Scheme, Equity Shares, Business Loans, Stocks, Real Estate"
